Task ID,Supplier ID,Cost
20/04/2021,S48,0.319271279
20/04/2021,S7,0.321858919
20/04/2021,S24,0.322535667
20/04/2021,S19,0.322647893
20/04/2021,S46,0.327588893
20/04/2021,S11,0.328129217
20/04/2021,S33,0.32825264
20/04/2021,S43,0.329409501
20/04/2021,S29,0.331221598
20/04/2021,S4,0.331378645
20/04/2021,S50,0.333148913
20/04/2021,S15,0.333228314
20/04/2021,S40,0.335658735
22/04/2021,S10,0.315383096
22/04/2021,S52,0.320404757
22/04/2021,S33,0.323241351
22/04/2021,S56,0.323968909
22/04/2021,S55,0.325026742
22/04/2021,S48,0.328824788
22/04/2021,S5,0.32899421
22/04/2021,S51,0.33100866
22/04/2021,S1,0.331261654
22/04/2021,S18,0.332419609
22/04/2021,S4,0.333414072
22/04/2021,S29,0.334537343
22/04/2021,S47,0.335501846
22/04/2021,S23,0.335758215
22/04/2021,S34,0.336183296
22/04/2021,S39,0.336500607
22/04/2021,S11,0.336728932
22/04/2021,S32,0.336758164
22/04/2021,S35,0.337618387
22/04/2021,S54,0.337762377
28/04/2021,S56,0.313594906
28/04/2021,S55,0.31885713
28/04/2021,S52,0.323356826
28/04/2021,S48,0.323793219
28/04/2021,S61,0.326251153
28/04/2021,S51,0.326772742
28/04/2021,S64,0.328350528
28/04/2021,S33,0.329045156
28/04/2021,S24,0.330002419
28/04/2021,S37,0.33061069
28/04/2021,S29,0.330813419
28/04/2021,S18,0.330953549
28/04/2021,S12,0.332827912
28/04/2021,S30,0.333083075
28/04/2021,S27,0.333340689
28/04/2021,S10,0.333836893
28/04/2021,S19,0.334542004
28/04/2021,S50,0.334610458
28/04/2021,S34,0.334761239
28/04/2021,S53,0.335222165
05/05/2021,S53,0.305114176
05/05/2021,S12,0.310373929
05/05/2021,S16,0.310477801
05/05/2021,S56,0.311559174
05/05/2021,S28,0.313812523
05/05/2021,S33,0.314317179
05/05/2021,S10,0.316747623
05/05/2021,S54,0.317394565
05/05/2021,S9,0.317457387
